lateness_seconds,event_count
-2,14
-1,43
0,39
1,50
2,43
3,52
4,51
5,47
6,46
7,39
8,38
9,42
10,57
11,54
12,49
13,57
14,52
15,39
16,42
17,54
18,40
19,54
20,44
21,43
22,52
23,44
24,78
25,42
26,45
27,42
28,44
29,61
30,62
31,50
32,61
33,45
34,45
35,51
36,53
37,53
38,46
39,42
40,35
41,43
42,43
43,52
44,49
45,44
46,49
47,49
48,33
49,47
50,46
51,54
52,57
53,52
54,47
55,48
56,57
57,61
58,61
59,60
60,49
61,61
62,51
63,64
64,60
65,65
66,50
67,51
68,52
69,49
70,52
71,61
72,53
73,51
74,44
75,53
76,50
77,53
78,61
79,54
80,39
81,39
82,48
83,53
84,55
85,60
86,48
87,45
88,57
89,58
90,51
91,53
92,64
93,50
94,63
95,69
96,70
97,84
98,107
99,118
100,72
